id,fraud,date,amount,use_chip,merchant_city,merchant_state,mcc,errors,card_brand,card_type,has_chip,credit_limit,num_cards_issued,credit_score,total_debt,num_credit_cards,yearly_income
12942009,0,2013-06-26 16:17:00,$44.54,Swipe Transaction,El Paso,TX,5300,No Error,Mastercard,Credit,YES,8900,1,716,25966,6,29206
14524734,0,2014-06-09 03:34:00,$31.41,Swipe Transaction,Oswego,NY,5411,No Error,Mastercard,Debit,YES,23404,1,827,3080,5,47993
9521583,0,2011-05-11 13:14:00,$16.55,Swipe Transaction,Lewistown,PA,5812,No Error,Mastercard,Debit,YES,8024,2,526,69066,3,33387
19380899,0,2017-04-17 08:33:00,$3.42,Chip Transaction,San Andreas,CA,5499,No Error,Visa,Debit,YES,16731,1,734,74530,5,33540
10714333,0,2012-02-10 10:49:00,$4.24,Swipe Transaction,Dallas,TX,5411,No Error,Mastercard,Debit,YES,13555,1,799,0,4,26600
7812650,0,2010-03-27 10:46:00,$56.78,Swipe Transaction,Westminster,CA,5499,No Error,Mastercard,Debit,YES,15695,1,777,58586,3,39633
19717623,0,2017-06-27 09:23:00,$20.00,Chip Transaction,Richmond,VA,4829,No Error,Mastercard,Debit,YES,19955,1,802,111007,6,42900
13576295,0,2013-11-13 06:16:00,$65.00,Swipe Transaction,Rockville Centre,NY,5541,No Error,Amex,Credit,YES,13400,1,831,39076,3,103294
16596619,0,2015-08-30 21:55:00,$34.21,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,YES,3711,2,621,72794,1,40006
20435769,0,2017-11-26 07:08:00,$64.12,Chip Transaction,Gainesville,FL,5541,No Error,Mastercard,Debit,YES,18627,2,602,132409,1,52538
17459674,0,2016-03-03 09:59:00,$7.17,Chip Transaction,Huntington,WV,5814,No Error,Visa,Debit,YES,25292,2,702,107410,4,44534
20187978,0,2017-10-04 15:47:00,$-89.00,Chip Transaction,Nashport,OH,5541,No Error,Amex,Credit,YES,13400,1,693,44263,3,43133
22287557,0,2018-12-23 16:27:00,$49.07,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,YES,31292,2,688,69645,1,59479
22942810,0,2019-05-11 12:42:00,$8.31,Chip Transaction,Mesilla Park,NM,5499,No Error,Visa,Credit,YES,8700,2,719,42233,4,31414
12284577,0,2013-01-31 19:44:00,$37.76,Swipe Transaction,Camillus,NY,5814,No Error,Visa,Credit,YES,11900,1,709,18724,8,48750
18987661,0,2017-01-23 14:45:00,$21.51,Swipe Transaction,Decatur,IL,5211,No Error,Visa,Debit,YES,17815,1,730,0,3,45164
13802167,0,2014-01-01 15:48:00,$6.81,Swipe Transaction,Harrisburg,PA,5541,No Error,Mastercard,Debit,YES,18540,1,705,26799,5,34884
13234452,0,2013-08-29 18:26:00,$5.02,Online Transaction,ONLINE,Unknown,5651,No Error,Mastercard,Credit,YES,9400,2,734,66681,6,28269
15983695,0,2015-04-21 15:32:00,$-78.00,Chip Transaction,Alburtis,PA,5499,No Error,Mastercard,Debit,YES,21282,1,724,98151,3,41473
7556614,0,2010-01-21 16:52:00,$140.00,Swipe Transaction,Pittsburg,CA,4829,No Error,Mastercard,Debit,YES,12346,2,655,22961,2,28210
14713493,0,2014-07-20 09:13:00,$93.33,Swipe Transaction,Spotsylvania,VA,4111,No Error,Mastercard,Debit,YES,9796,2,634,68220,2,38059
20906796,0,2018-03-06 08:20:00,$7.53,Chip Transaction,Valley Center,CA,7542,No Error,Visa,Debit,YES,30041,1,686,78610,6,46341
21841912,0,2018-09-20 09:05:00,$3.48,Chip Transaction,Bluffton,SC,5814,No Error,Visa,Debit,YES,7495,2,740,23883,7,30434
14603025,0,2014-06-26 07:58:00,$28.03,Swipe Transaction,Providence,RI,5411,No Error,Mastercard,Debit (Prepaid),YES,56,2,758,2151,4,61991
12765216,0,2013-05-18 14:45:00,$35.41,Swipe Transaction,Hendersonville,TN,5411,No Error,Visa,Credit,YES,12700,1,688,106248,3,51303
